STOP_Carico,MODEL,BILANCELLE/ASSALE,WEIGHT,REWORK,RICARICO,BIL_PREVIOUS_EMPTY,TEAM_LOAD,DAY_LOAD,TIME_LOAD
1,980/10141855,2.5,>1500,False,False,True,TEAM 1,Monday,6-8
0,10163216,0.5,1-100,False,False,False,TEAM 1,Monday,6-8
0,319/10080308,0.5,100-200,False,False,False,TEAM 1,Monday,6-8
0,319/10136496,0.5,100-200,False,False,False,TEAM 1,Monday,6-8
0,10373628,1.0,500-1000,True,False,False,TEAM 1,Monday,6-8
1,10373628,1.0,500-1000,False,False,False,TEAM 1,Monday,6-8
1,980/10141854,2.5,>1500,False,False,False,TEAM 1,Monday,6-8
1,980/10141854,2.5,>1500,False,False,False,TEAM 1,Monday,6-8
1,10177072,1.0,500-1000,False,False,False,TEAM 1,Monday,6-8
0,10373628,1.0,500-1000,False,False,False,TEAM 1,Monday,6-8
0,851/ 84,1.0,500-1000,True,False,True,TEAM 1,Monday,8-10
0,980/10141856,2.5,>1500,False,False,False,TEAM 1,Monday,6-8
1,980/10141854,2.5,>1500,False,False,False,TEAM 1,Monday,8-10
0,708/131,1.0,100-200,False,False,False,TEAM 1,Monday,8-10
0,708/131,1.0,100-200,False,False,False,TEAM 1,Monday,8-10
0,708/131,1.0,100-200,False,False,False,TEAM 1,Monday,8-10
0,708/131,1.0,100-200,False,False,False,TEAM 1,Monday,8-10
0,980/10141854,2.5,>1500,False,False,False,TEAM 1,Monday,8-10
0,980/10141856,2.5,>1500,False,False,False,TEAM 1,Monday,8-10
0,708/131,1.0,100-200,False,False,False,TEAM 1,Monday,8-10
0,10177072,1.0,500-1000,False,False,False,TEAM 1,Monday,8-10
0,10177072,1.0,500-1000,False,False,False,TEAM 1,Monday,8-10
0,10177072,1.0,500-1000,False,False,False,TEAM 1,Monday,8-10
0,10373628,1.0,500-1000,False,False,False,TEAM 1,Monday,10-12
1,740/156,1.0,300-500,False,False,False,TEAM 1,Monday,10-12
1,740/156,1.0,300-500,False,False,False,TEAM 1,Monday,10-12
1,980/10141856,2.5,>1500,False,False,False,TEAM 1,Monday,10-12
0,980/10141854,2.5,>1500,False,False,False,TEAM 1,Monday,10-12
0,740/156,1.0,300-500,False,False,False,TEAM 1,Monday,10-12
0,740/156,1.0,300-500,False,False,False,TEAM 1,Monday,10-12
0,10209418,1.0,1000-1500,False,False,False,TEAM 1,Monday,10-12
